Geneid	ENCFF630HEX_Total_RNAseq_K562.bam
AL596275.1	0
HMGB1P45	0
FCF1P6	0
DMRTA2	0
AL049637.2	0
FAF1	6289
AL049637.1	0
RNU6-1026P	0
PHBP12	0
MRPS6P2	0
CDKN2C	2096
MIR4421	1
MIR6500	0
C1orf185	0
CFL1P2	0
LINC01562	0
RNF11	550
AL162430.1	4
AL162430.2	0
TTC39A	22
TTC39A-AS1	0
EPS15	5966
AL671986.1	0
RNU6-877P	0
AC104170.2	0
AC104170.1	253
RNU6-1281P	0
CALR4P	0
OSBPL9	9755
GAPDHP51	0
SLC25A6P3	4
RF00568	6
NRDC	9517
AL050343.1	8
AL050343.2	0
MIR761	0
TSEN15P2	0
